FID,OBJECTID,HIFLD_FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,Shape_Leng,SHAPE_Length,SHAPE_Area
102,97,10001536,ROBERT PRESLEY DETENTION CENTER,4000 ORANGE STREET,RIVERSIDE,CA,92501,NOT AVAILABLE,(951) 955-4500,COUNTY,OPEN,711,RIVERSIDE,6065,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/12/18,IMAGERY,2/12/18 0:00,http://www.riversidesheriff.org/corrections/,NOT AVAILABLE,-999,0.002299337,274.8620666,3.30E-07
104,99,10000860,RIVERSIDE COUNTY JUVENILE HALL,3933 HARRISON STREET,RIVERSIDE,CA,92503,3523,(951) 358-4200,COUNTY,OPEN,-999,RIVERSIDE,6065,USA,922140,CORRECTIONAL INSTITUTIONS,http://rcprob.us/index.html,2/15/16,IMAGERY,2/12/18 0:00,http://rcprob.us/index.html,JUVENILE,187,0.009515052,1155.164369,4.24E-06
106,101,10000778,SACRAMENTO COUNTY MAIN JAIL,651 I STREET,SACRAMENTO,CA,95814,NOT AVAILABLE,(916) 874-6752,COUNTY,OPEN,1917,SACRAMENTO,6067,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/12/18,IMAGERY,2/12/18 0:00,https://www.sacsheriff.com/pages/organization/main_jail/mainjail.aspx,NOT AVAILABLE,-999,0.003141519,381.9731506,5.38E-07
111,106,10000779,RIO COSUMNES CORRECTIONAL CENTER,12500 BRUCEVILLE ROAD,ELK GROVE,CA,95757,NOT AVAILABLE,(916) 874-1927,COUNTY,OPEN,1504,SACRAMENTO,6067,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/12/18,IMAGERY,2/12/18 0:00,https://www.sacsheriff.com/pages/organization/rccc/rccc.aspx,MEDIUM,-999,0.018296778,2299.221071,2.16E-05
170,163,10006707,SACRAMENTO COUNTY YOUTH DETENTION FACILITY,9601 KIEFER BOULEVARD,SACRAMENTO,CA,95827,NOT AVAILABLE,(916) 875-6996,COUNTY,OPEN,-999,SACRAMENTO,6067,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.probation.saccounty.net/Pages/default.aspx,2/12/18,IMAGERY,2/12/18 0:00,http://www.probation.saccounty.net/Pages/default.aspx,JUVENILE,-999,0.01530213,1850.52235,5.01E-06
174,167,10005322,SAN BENITO COUNTY JAIL,710 FLYNN ROAD,HOLLISTER,CA,95024,NOT AVAILABLE,(831) 636-4060,COUNTY,OPEN,120,SAN BENITO,6069,USA,922140,CORRECTIONAL INSTITUTIONS,http://sbso.us/,2/12/18,IMAGERY,2/12/18 0:00,http://sbso.us/,MAXIMUM,142,0.002610319,325.721719,4.09E-07
175,168,10006231,SAN BENITO COUNTY JUVENILE HALL,708 FLYNN ROAD,HOLLISTER,CA,95023,NOT AVAILABLE,(831) 636-4050,COUNTY,OPEN,-999,SAN BENITO,6069,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cosb.us/county-departments/probation/,2/12/18,IMAGERY,2/12/18 0:00,http://www.cosb.us/county-departments/probation/,JUVENILE,124,0.00219574,272.2019097,2.26E-07
183,176,10005333,HIGH DESERT JUVENILE DETENTION AND ASSESMENT CENTER,21101 DALE EVANS PARKWAY,APPLE VALLEY,CA,92307,NOT AVAILABLE,(760) 961-6701,COUNTY,OPEN,-999,SAN BERNARDINO,6071,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.sbcounty.gov/uploads/probation/main/bureaus/JDAC.pdf,2/13/18,IMAGERY,2/13/18 0:00,http://joinprobation.org/Home.aspx,JUVENILE,200,0.008715999,1090.609828,3.85E-06
187,180,10000828,HIGH DESERT DETENTION CENTER,9438 COMMERCE WAY,ADELANTO,CA,92301,NOT AVAILABLE,(760) 530-9300,COUNTY,OPEN,1203,SAN BERNARDINO,6071,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, http://cms.sbcounty.gov/sheriff/CourtsCorrections/CorrectionsandDetentionsBureau.aspx",2/13/18,IMAGERY,2/13/18 0:00,http://cms.sbcounty.gov/sheriff/CourtsCorrections/CorrectionsandDetentionsBureau.aspx,MEDIUM,700,0.010244051,1250.883641,2.36E-06
189,182,10005331,WEST VALLEY DETENTION CENTER,9500 ETIWANDA AVENUE,RANCHO CUCAMONGA,CA,91739,NOT AVAILABLE,(909) 887-0364,COUNTY,OPEN,2572,SAN BERNARDINO,6071,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, http://cms.sbcounty.gov/sheriff/CourtsCorrections/CorrectionsandDetentionsBureau.aspx",2/13/18,IMAGERY,2/13/18 0:00,http://cms.sbcounty.gov/sheriff/CourtsCorrections/CorrectionsandDetentionsBureau.aspx,MAXIMUM,3347,0.01619761,1934.330557,9.26E-06
190,183,10005330,REGIONAL YOUTH EDUCATIONAL FACILITY,740 EAST GILBERT STREET,SAN BERNARDINO,CA,92415,NOT AVAILABLE,(909) 387-6933,COUNTY,OPEN,-999,SAN BERNARDINO,6071,USA,922140,CORRECTIONAL INSTITUTIONS,http://wp.sbcounty.gov/dbh/mental-health-services/children-youth/jjp/gateway/,2/13/18,IMAGERY,2/13/18 0:00,NOT AVAILABLE,JUVENILE,20,0.002637051,312.5409991,3.35E-07
194,187,10005360,FACILITY 8 DETENTION FACILITY,"446 ALTA ROAD, STE. 5300",SAN DIEGO,CA,92158,NOT AVAILABLE,(619) 210-0327,COUNTY,OPEN,248,SAN DIEGO,6073,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.sdsheriff.net/detentionfacilities.html,2/12/18,IMAGERY,2/13/18 0:00,http://www.sdsheriff.net/detentionfacilities.html,MEDIUM,200,0.005059814,607.0370951,1.54E-06
196,189,10001538,GEORGE F BAILEY DETENTION FACILITY,"446 ALTA ROAD, STE. 5300",SAN DIEGO,CA,92158,2,(619) 210-0385,COUNTY,OPEN,1668,SAN DIEGO,6073,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.sdsheriff.net/detentionfacilities.html,2/13/18,IMAGERY,2/13/18 0:00,http://www.sdsheriff.net/detentionfacilities.html,MAXIMUM,1380,0.007037155,848.1327549,3.28E-06
209,201,10000876,LAS COLINAS DETENTION AND REENTRY FACILITY,451 RIVERVIEW PARKWAY,SANTEE,CA,92071,NOT AVAILABLE,(619) 402-1312,COUNTY,OPEN,846,SAN DIEGO,6073,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.sdsheriff.net/detentionfacilities.html,2/12/18,IMAGERY,2/13/18 0:00,http://www.sdsheriff.net/detentionfacilities.html,MAXIMUM,1270,0.014241848,1729.293743,1.34E-05
210,202,10000870,SOUTH BAY DETENTION FACILITY,500 3RD AVENUE,CHULA VISTA,CA,91910,NOT AVAILABLE,(619) 213-1433,COUNTY,OPEN,389,SAN DIEGO,6073,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.sdsheriff.net/detentionfacilities.html,2/12/18,IMAGERY,2/13/18 0:00,http://www.sdsheriff.net/detentionfacilities.html,MAXIMUM,386,0.002868325,345.6186462,5.03E-07
228,220,10000872,SAN DIEGO CENTRAL JAIL,1173 FRONT STREET,SAN DIEGO,CA,92101,NOT AVAILABLE,(619) 610-1647,COUNTY,OPEN,1008,SAN DIEGO,6073,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.sdsheriff.net/detentionfacilities.html,2/12/18,IMAGERY,2/13/18 0:00,http://www.sdsheriff.net/detentionfacilities.html,NOT AVAILABLE,944,0.003069415,377.0935377,5.83E-07
239,231,10005358,VISTA DETENTION FACILITY,325 SOUTH MELROSE DRIVE #200,VISTA,CA,92081,NOT AVAILABLE,(760) 936-0014,COUNTY,OPEN,799,SAN DIEGO,6073,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.sdsheriff.net/detentionfacilities.html,2/12/18,IMAGERY,2/13/18 0:00,http://www.sdsheriff.net/detentionfacilities.html,NOT AVAILABLE,825,0.004837369,587.8875902,1.25E-06
241,233,10000875,KEARNY MESA JUVENILE DETENTION FACILITY,2801 MEADOW LARK DRIVE,SAN DIEGO,CA,92123,NOT AVAILABLE,(858) 694-4500,COUNTY,OPEN,-999,SAN DIEGO,6073,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.sandiegocounty.gov/probation/juvenile_information_detained.html,2/13/18,IMAGERY,2/13/18 0:00,https://www.sandiegocounty.gov/probation/juvenile_information_detained.html,JUVENILE,359,0.006633522,829.0758522,1.72E-06
256,248,10005354,EAST MESA JUVENILE DETENTION FACILITY,"446 ALTA ROAD, SUITE 6100",SAN DIEGO,CA,92158,NOT AVAILABLE,(619) 671-4400,COUNTY,OPEN,-999,SAN DIEGO,6073,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.sandiegocounty.gov/probation/juvenile_information_detained.html,2/13/18,IMAGERY,2/13/18 0:00,https://www.sandiegocounty.gov/probation/juvenile_information_detained.html,JUVENILE,290,0.008364237,1002.144709,3.60E-06
267,259,10005356,GIRLS REHABILITATION FACILITY,2861 MEADOW LARK DRIVE,SAN DIEGO,CA,92123,NOT AVAILABLE,(858) 694-4510,COUNTY,OPEN,-999,SAN DIEGO,6073,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.sandiegocounty.gov/probation/juvenile_information_detained.html,2/13/18,IMAGERY,2/13/18 0:00,https://www.sandiegocounty.gov/probation/juvenile_information_detained.html,JUVENILE,50,0.006649731,797.5062252,1.74E-06
277,269,10006708,CAMP BARRETT,21077 LYONS VALLEY RD,ALPINE,CA,91901,NOT AVAILABLE,(619) 401-4900,COUNTY,OPEN,-999,SAN DIEGO,6073,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.sandiegocounty.gov/probation/juvenile_information_detained.html,2/13/18,IMAGERY,2/13/18 0:00,https://www.sandiegocounty.gov/probation/juvenile_information_detained.html,JUVENILE,-999,0.005765175,716.1477499,2.01E-06
279,271,10001525,SAN FRANCISCO COUNTY JAIL #2,425 7TH STREET,SAN FRANCISCO,CA,94103,NOT AVAILABLE,(415) 575-4401,COUNTY,OPEN,232,SAN FRANCISCO,6075,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, http://www.sfsheriff.com/jailinfolanding.html",2/13/18,IMAGERY,2/13/18 0:00,http://www.sfsheriff.com/jailinfolanding.html,NOT AVAILABLE,392,0.002720192,338.4152072,3.75E-07
291,283,10001526,SAN FRANCISCO COUNTY JAIL #4,"850 BRYANT STREET, 7TH FLOOR",SAN FRANCISCO,CA,94103,NOT AVAILABLE,(415) 553-9506,COUNTY,OPEN,319,SAN FRANCISCO,6075,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, http://www.sfsheriff.com/jailinfolanding.html",2/13/18,IMAGERY,2/13/18 0:00,http://www.sfsheriff.com/jailinfolanding.html,MAXIMUM,402,0.005274602,649.713816,9.22E-07
304,296,10000805,SAN FRANCISCO COUNTY JAIL #5,1 MORELAND DRIVE,SAN BRUNO,CA,94066,NOT AVAILABLE,(650) 266-7500,COUNTY,OPEN,676,SAN MATEO,6081,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, http://www.sfsheriff.com/jailinfolanding.html",2/13/18,IMAGERY,2/13/18 0:00,http://www.sfsheriff.com/jailinfolanding.html,NOT AVAILABLE,768,0.008248528,1025.412302,2.93E-06
310,302,10005307,SAN FRANCISCO GENERAL HOSPITAL WARD 7D / 7L,1001 POTRERO AVENUE,SAN FRANCISCO,CA,94110,NOT AVAILABLE,(415) 553-1098,COUNTY,OPEN,-999,SAN FRANCISCO,6075,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.sfsheriff.com/jailinfolanding.html,2/15/16,IMAGERY,2/13/18 0:00,http://www.sfsheriff.com/jailinfolanding.html,NOT AVAILABLE,11,0.005351556,677.0053721,1.59E-06
316,308,10000798,SAN JOAQUIN COUNTY JAIL,7000 MICHAEL N CANLIS BOULEVARD,FRENCH CAMP,CA,95231,NOT AVAILABLE,(209) 468-4562,COUNTY,OPEN,1031,SAN JOAQUIN,6077,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/13/18,IMAGERY,2/13/18 0:00,https://www.sjgov.org/sheriff/default.htm,NOT AVAILABLE,-999,0.012708601,1557.954056,7.28E-06
330,322,10000795,SAN JOAQUIN COUNTY JAIL (HONOR FARM),999 W MATHEWS RD,FRENCH CAMP,CA,95231,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,292,SAN JOAQUIN,6077,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/13/18,IMAGERY,2/13/18 0:00,NOT AVAILABLE,NOT AVAILABLE,-999,0.017171887,2138.509005,1.51E-05
335,327,10000854,SAN LUIS OBISPO COUNTY JAIL,1585 KANSAS AVENUE,SAN LUIS OBISPO,CA,93405,NOT AVAILABLE,(805) 781-4600,COUNTY,OPEN,522,SAN LUIS OBISPO,6079,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/13/18,IMAGERY,2/13/18 0:00,http://www.slosheriff.org/,NOT AVAILABLE,518,0.007284392,858.6841904,1.54E-06
353,345,10005339,SAN LUIS OBISPO COUNTY HONOR FARM JAIL,880 OKLAHOMA AVENUE,SAN LUIS OBISPO,CA,93405,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,51,SAN LUIS OBISPO,6079,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/13/18,IMAGERY,2/13/18 0:00,http://www.slosheriff.org/,NOT AVAILABLE,-999,0.005826737,700.7294774,1.30E-06
358,350,10001534,SAN LUIS OBISPO JUVENILE HALL / SERVICE CENTER,1065 KANSAS AVE,SAN LUIS OBISPO,CA,93408,NOT AVAILABLE,(805) 781-5389,COUNTY,OPEN,25,SAN LUIS OBISPO,6079,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.slocounty.ca.gov/Departments/Probation/Forms-Documents/Annual-Statistical-Fiscal-Year-Reports.aspx, http://www.slocounty.ca.gov/Departments/Probation.aspx",2/13/18,IMAGERY,2/13/18 0:00,http://www.slocounty.ca.gov/Departments/Probation.aspx,JUVENILE,50,0.004498162,539.1389198,6.96E-07
362,354,10005309,MAGUIRE CORRECTIONAL FACILITY,300 BRADFORD STREET,REDWOOD CITY,CA,94063,NOT AVAILABLE,(650) 363-4000,COUNTY,OPEN,640,SAN MATEO,6081,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/13/18,IMAGERY,2/13/18 0:00,http://www.smcsheriff.com/corrections-division,MAXIMUM,688,0.002663746,330.2732911,3.82E-07
369,361,10005310,WOMEN'S CORRECTIONAL CENTER,1590 MAPLE STREET,REDWOOD CITY,CA,94063,NOT AVAILABLE,(650) 363-4310,COUNTY,CLOSED,0,SAN MATEO,6081,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.almanacnews.com/news/2016/03/08/new-jail-designed-to-focus-on-rehabilitation,3/9/16,IMAGERY,2/13/18 0:00,http://www.smcsheriff.com/divisions/corrections-division/maple-street-complex-facilities,MAXIMUM,130,0.001669042,205.7717326,1.68E-07
405,397,10006709,MAPLE STREET CORRECTIONAL CENTER,1300 MAPLE STREET,REDWOOD CITY,CA,94063,NOT AVAILABLE,(650) 599-3000,COUNTY,OPEN,405,SAN MATEO,6081,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, https://www.mercurynews.com/2016/03/01/san-mateo-county-unveils-compassionate-new-jail/",8/12/16,IMAGERY,2/13/18 0:00,http://www.smcsheriff.com/corrections-division,NOT AVAILABLE,832,0.00422244,526.6576416,9.10E-07
424,410,10000865,SANTA BARBARA COUNTY MAIN JAIL,4436 CALLE REAL,SANTA BARBARA,CA,93110,NOT AVAILABLE,(805) 681-4260,COUNTY,OPEN,779,SANTA BARBARA,6083,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, http://www.sbcgj.org/2017/DetentionFacilities.pdf",2/16/18,IMAGERY,2/16/18 0:00,https://www.sbsheriff.org/command-and-divisions/custody-operations/jail-operations-division/jail-facilities/,NOT AVAILABLE,659,0.006262938,770.5044488,1.12E-06
438,422,10005353,SANTA BARBARA COUNTY SANTA MARIA STATION JAIL,812-A W. FOSTER ROAD,SANTA MARIA,CA,93455,NOT AVAILABLE,(805) 934-6150,COUNTY,OPEN,2,SANTA BARBARA,6083,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, http://www.sbcgj.org/2017/DetentionFacilities.pdf",2/16/18,IMAGERY,2/16/18 0:00,https://www.sbsheriff.org/command-and-divisions/law-enforcement-operations/north-county-operations-division/,NOT AVAILABLE,35,0.002592427,313.4982302,3.23E-07
443,427,10000868,SANTA MARIA JUVENILE HALL,4263 CALIFORNIA BOULEVARD,SANTA MARIA,CA,93455,NOT AVAILABLE,(805) 934-6270,COUNTY,OPEN,80,SANTA BARBARA,6083,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.countyofsb.org/probation/home.c,2/15/16,IMAGERY,2/16/18 0:00,http://www.countyofsb.org/probation/home.c,JUVENILE,140,0.006413008,783.9246563,1.63E-06
453,437,10006710,LOS PRIETOS BOYS CAMP,3900 PARADISE ROAD,SANTA BARBARA,CA,93105,NOT AVAILABLE,(805) 692-1750,COUNTY,OPEN,-999,SANTA BARBARA,6083,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.countyofsb.org/probation/home.c,2/16/18,IMAGERY,2/16/18 0:00,http://www.countyofsb.org/probation/home.c,JUVENILE,-999,0.00547988,657.7864906,1.79E-06
454,438,10002333,ELMWOOD CORRECTIONAL COMPLEX,701 SOUTH ABEL STREET,MILPITAS,CA,95035,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,2529,SANTA CLARA,6085,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.sccgov.org/sites/sheriff/pages/custody.aspx,2/16/18,IMAGERY,2/16/18 0:00,https://www.sccgov.org/sites/sheriff/pages/custody.aspx,MAXIMUM,2600,0.017425646,2205.649972,1.91E-05
463,447,10005315,SANTA CLARA COUNTY MAIN JAIL COMPLEX (NORTH),150 WEST HEDDING STREET,SAN JOSE,CA,95110,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,-999,SANTA CLARA,6085,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.sccgov.org/sites/sheriff/pages/custody.aspx,2/16/18,IMAGERY,2/16/18 0:00,https://www.sccgov.org/sites/sheriff/pages/custody.aspx,NOT AVAILABLE,919,0.002626528,323.802136,3.94E-07
464,448,10006232,SANTA CLARA COUNTY MAIN JAIL COMPLEX (SOUTH),150 WEST HEDDING STREET,SAN JOSE,CA,95110,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,-999,SANTA CLARA,6085,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.sccgov.org/sites/sheriff/pages/custody.aspx,2/16/18,IMAGERY,2/16/18 0:00,https://www.sccgov.org/sites/sheriff/pages/custody.aspx,NOT AVAILABLE,674,0.00283975,342.7761629,3.85E-07
474,458,10005314,SANTA CLARA COUNTY JUVENILE HALL,840 GUADALUPE PARKWAY,SAN JOSE,CA,95110,NOT AVAILABLE,(408) 278-5820,COUNTY,OPEN,83,SANTA CLARA,6085,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.sccgov.org/sites/probation/reports/Pages/Annual-Reports.aspx,2/16/18,IMAGERY,2/16/18 0:00,https://www.sccgov.org/sites/probation/juvinst/pages/default.aspx,JUVENILE,390,0.006977954,853.72426,2.62E-06
495,479,10005317,WILLIAM F. JAMES RANCH,19050 MALAGUERRA AVENUE,MORGAN HILL,CA,95037,NOT AVAILABLE,(408) 201-7600,COUNTY,OPEN,-999,SANTA CLARA,6085,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.sccgov.org/sites/probation/reports/Pages/Annual-Reports.aspx,2/16/18,IMAGERY,2/16/18 0:00,https://www.sccgov.org/sites/probation/juvinst/pages/default.aspx,JUVENILE,96,0.011048832,1346.81911,6.75E-06
500,484,10005321,SANTA CRUZ ROUNTREE MEDIUM SECURITY FACILITY,90 ROUNTREE LANE,WATSONVILLE,CA,95076,NOT AVAILABLE,(831) 454-7873,COUNTY,OPEN,64,SANTA CRUZ,6087,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.scsheriff.com/Home/Corrections.aspx, http://www.santacruzsentinel.com/santacruz/ci_24268552/grant-could-ease-crowding-at-santa-cruz-county",10/8/13,IMAGERY,2/16/18 0:00,http://www.scsheriff.com/Home/Corrections.aspx,MEDIUM,94,0.002468315,309.2708233,2.65E-07
507,491,10001528,SANTA CRUZ BLAINE STREET FACILITY,141 BLAINE STREET,SANTA CRUZ,CA,95060,NOT AVAILABLE,(831) 454-2177,COUNTY,OPEN,14,SANTA CRUZ,6087,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.scsheriff.com/Home/Corrections.aspx,2/15/16,IMAGERY,2/16/18 0:00,http://www.scsheriff.com/Home/Corrections.aspx,MINIMUM,32,0.001074522,129.9693583,4.75E-08
518,502,10005260,SHASTA COUNTY JAIL,1655 WEST STREET,REDDING,CA,96001,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,337,SHASTA,6089,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, https://www.co.shasta.ca.us/index/sheriff_index/divisions/custody.aspx",2/16/18,IMAGERY,2/16/18 0:00,https://www.co.shasta.ca.us/index/sheriff_index/divisions/custody.aspx,NOT AVAILABLE,381,0.002422523,310.7430866,3.61E-07
